word1,word2,pivot,label,RelatedTo_att1,RelatedTo_att2,IsA_att1,IsA_att2,UsedFor_att1,UsedFor_att2,HasContext_att1,HasContext_att2,PartOf_att1,PartOf_att2,CapableOf_att1,CapableOf_att2
sandals,gown,soles,1,1,1,1,1,1,0,0,1,0,0,1,1
clam,squid,seats,0,1,1,1,0,0,1,0,0,1,0,1,0
robe,blouse,welcoming,0,1,1,1,1,1,0,1,1,1,1,1,1
chicken,asparagus,caves,0,1,1,1,0,1,1,0,1,0,0,1,1
starling,pigeon,flies,0,0,1,1,1,1,1,0,0,0,1,0,0
mushroom,cucumber,stem,1,1,1,1,0,1,1,0,1,0,0,0,1
rooster,budgie,oceans,0,1,1,1,1,1,1,0,0,1,0,1,1
cranberry,raisin,timid,0,0,1,1,0,1,1,0,0,1,0,1,0
elephant,zebra,tusks,1,0,1,0,1,0,1,0,0,0,0,1,0
buggy,cart,seats,1,0,1,1,1,1,1,0,1,0,0,1,1
caterpillar,worm,collecting,0,1,1,1,1,1,1,1,0,0,0,1,1
pants,jeans,loops,1,1,1,1,1,1,1,0,0,1,1,0,0
chipmunk,moth,paddles,0,1,1,1,1,0,1,0,1,0,0,1,0
napkin,pillow,square,1,1,1,1,1,1,1,0,0,0,1,0,0
gown,sweater,silk,1,1,1,1,1,1,0,0,1,0,0,1,1
subway,trolley,electrical,1,1,1,1,1,1,1,0,1,1,0,1,0
rocket,bomb,flies,1,1,1,1,1,1,1,0,0,0,0,1,1
crab,avocado,lines,0,1,1,1,1,1,1,1,0,1,0,0,1
toad,beetle,lawns,0,1,1,1,0,1,1,1,1,0,0,0,0
gun,pistol,shepherds,0,0,1,1,1,1,1,1,0,0,0,1,0
falcon,stork,talons,1,1,0,1,1,1,0,1,1,1,0,1,1
necklace,bracelet,gold,0,1,1,1,1,1,1,0,0,1,0,0,1
pumpkin,avocado,rind,0,1,1,1,1,0,1,1,0,1,1,1,1
clarinet,guitar,evenness,0,1,1,1,1,1,1,0,1,1,0,1,1
cherry,carrot,allergies,0,1,1,0,1,0,1,0,0,0,0,1,1
jeans,skirt,zipper,1,1,1,1,1,1,1,0,1,0,0,1,1
pepper,avocado,pieces,1,1,1,1,1,1,1,0,1,0,0,1,1
bowl,cup,curved,1,1,1,1,1,1,1,0,0,0,0,1,1
tank,gun,guns,1,1,1,1,1,1,1,0,1,0,0,1,1
pants,shoes,pockets,1,1,0,1,1,1,0,0,1,1,0,1,1
paintbrush,crayon,spring,0,1,1,1,1,1,1,0,0,1,0,0,1
mandarin,lemon,seeds,0,1,1,1,1,1,0,1,0,0,1,1,1
gloves,shoes,thumb,1,1,1,1,1,1,1,0,0,0,1,1,1
yam,tomato,recognition,0,1,1,1,1,1,1,0,1,0,0,0,1
basement,cupboard,stairways,1,1,1,0,1,1,1,0,0,0,0,1,1
garlic,peas,plate,0,1,1,1,1,1,1,1,1,0,0,1,1
sardine,crab,residences,0,1,0,1,1,1,1,1,1,1,1,0,1
microwave,toaster,slender,0,1,1,1,1,1,1,0,0,1,0,1,0
leopard,lion,letters,0,1,1,0,1,0,1,0,1,0,0,1,1
cap,sweater,fires,0,1,1,1,1,1,1,0,0,1,0,1,1
shovel,spade,chair,0,1,1,1,1,0,1,0,0,0,1,1,1
radio,magazine,dials,1,0,1,1,1,1,1,0,0,1,1,0,1
sword,dagger,liquids,0,1,1,1,1,1,0,0,1,0,1,1,1
raccoon,frog,mask,1,1,1,0,0,1,0,0,1,0,0,1,0
swan,partridge,hoofs,0,1,1,1,0,1,1,1,1,0,0,0,0
plum,avocado,purple,1,1,1,1,1,1,1,0,1,1,0,0,1
cat,sheep,paws,1,1,1,1,1,1,1,0,0,0,1,1,1
corn,potato,setting,0,1,1,1,1,0,0,0,0,1,1,1,1
crayon,paintbrush,wax,1,1,1,1,1,0,1,0,1,1,0,1,1
ring,wheel,gold,1,1,0,1,0,1,1,0,0,0,0,0,0
wall,stone,batteries,0,1,1,1,0,1,1,1,0,0,1,1,1
sack,jacket,burlap,1,1,1,1,0,1,1,0,0,0,0,1,1
owl,sparrow,mice,1,0,1,1,1,1,0,0,1,0,1,1,1
saucer,balloon,frog,0,1,1,1,1,1,1,0,0,0,1,1,1
guitar,accordion,carbohydrates,0,1,1,1,1,0,1,0,1,0,1,0,1
jeans,socks,rips,1,1,1,1,0,1,1,0,0,1,1,1,1
eagle,falcon,claws,1,1,1,1,1,1,1,0,0,0,1,1,1
harmonica,trumpet,recognition,0,1,1,1,1,1,1,0,0,1,1,1,1
lettuce,radish,acoustic,0,1,1,1,1,1,1,0,0,0,0,1,0
squid,shrimp,hangings,0,1,1,1,1,1,1,0,1,0,0,1,0
harmonica,clarinet,freezer,0,1,1,1,0,1,1,0,0,0,1,1,1
corn,peas,stalks,1,1,0,1,0,1,1,0,1,0,1,1,1
axe,crossbow,valves,0,0,1,1,1,1,1,1,1,0,0,1,1
nectarine,plum,sheer,0,1,1,1,1,1,1,0,0,0,0,0,1
bra,vest,cups,1,1,1,0,1,1,1,0,0,0,0,1,1
gloves,apron,faucet,0,1,1,1,0,1,0,1,1,1,1,1,1
kite,vulture,string,1,1,1,1,1,1,0,1,1,0,0,0,1
crocodile,iguana,bacon,0,1,1,0,1,1,1,0,0,0,0,0,1
bagpipe,tuba,bag,1,1,1,0,1,0,1,1,0,1,0,1,1
ostrich,goose,stirring,0,1,0,1,1,1,1,0,1,1,1,1,1
bolts,wheel,sizes,1,1,1,1,1,1,1,1,0,1,0,1,0
shield,cloak,screeches,0,0,0,0,1,1,1,1,0,0,0,0,1
carrot,broccoli,vacations,0,1,1,1,1,1,0,1,0,0,0,0,1
machete,spear,chopping,0,1,1,1,1,1,0,1,1,0,0,0,1
violin,accordion,roll,0,1,1,1,1,1,1,0,1,1,0,1,0
camel,moose,humps,1,1,1,0,1,1,1,0,0,1,0,1,1
screwdriver,spatula,heads,1,1,1,1,1,1,1,1,1,1,1,1,0
mittens,gloves,funerals,0,1,1,1,1,1,1,1,0,0,0,1,0
slippers,gloves,flying,0,1,0,0,1,1,1,0,0,0,0,1,1
closet,fridge,shelves,0,1,1,1,1,0,0,1,0,0,0,1,1
dagger,spade,companies,0,1,1,1,1,1,1,0,0,0,0,1,0
asparagus,cucumber,coat,0,1,1,1,1,1,1,0,0,0,0,1,1
turtle,rabbit,numbers,0,1,1,1,0,1,0,1,0,1,0,1,1
corn,onions,stalks,1,1,1,1,1,1,1,0,1,0,0,1,0
celery,peas,films,0,1,1,0,0,1,1,0,1,1,1,1,0
crab,chicken,claws,1,1,1,0,1,1,0,0,1,1,0,1,1
wrench,hammer,sizes,1,1,1,1,0,1,1,0,0,0,0,1,0
ball,knife,symbol,0,1,1,0,1,0,1,0,1,0,1,1,1
tiger,giraffe,claws,1,1,1,1,1,1,1,0,0,1,0,1,1
armour,shell,lifeguards,0,1,1,1,1,1,0,0,0,0,0,0,1
drapes,shawl,pillow,0,1,1,0,1,1,0,0,0,1,0,1,1
camel,calf,tying,0,1,1,1,1,1,1,0,0,0,1,1,1
lamp,stove,heels,0,1,1,1,1,1,1,0,1,1,1,1,0
desk,tray,drawers,1,1,1,1,1,1,1,0,0,0,0,1,1
spoon,garlic,logos,0,1,1,1,1,1,1,0,0,1,1,1,1
jeans,gown,fades,1,1,1,1,1,1,0,1,0,0,1,1,0
keyboard,cello,delicious,0,1,1,1,0,1,1,0,0,0,0,0,1
colander,ladle,trunk,0,1,1,1,1,1,0,0,1,0,0,0,1
goldfish,shrimp,piglet,0,1,1,1,1,1,1,0,0,1,1,0,1
sledgehammer,hammer,curved,0,1,1,1,1,1,1,1,0,0,0,1,1
dove,sparrow,flies,0,1,1,1,1,1,1,0,1,0,0,0,1
spade,scissors,winning,0,1,1,1,0,0,1,0,0,0,1,0,1
bagpipe,trombone,bag,1,1,1,0,0,0,1,1,1,1,0,1,1
swimsuit,leotards,buckles,0,1,1,1,1,1,1,0,1,0,0,1,0
rattlesnake,alligator,bites,1,1,0,1,1,1,1,0,1,0,0,1,1
pepper,avocado,cat,0,1,1,1,1,1,1,0,1,0,0,1,1
accordion,whistle,gardens,0,1,1,1,1,0,0,0,0,0,0,0,1
cat,deer,paws,1,1,1,1,1,1,1,1,1,1,0,0,0
tomato,parsley,seeds,1,1,1,1,1,1,1,1,1,0,0,0,1
tangerine,pineapple,seeds,1,1,1,1,0,0,1,0,1,1,1,1,1
stool,chair,holders,0,1,1,1,1,1,0,0,1,0,1,1,1
trout,mackerel,cloth,0,1,1,0,1,0,1,0,1,0,1,1,0
pepper,chicken,hallways,0,1,1,1,1,1,1,0,1,1,1,1,0
trout,catfish,gills,0,1,1,1,1,1,1,0,1,1,0,1,1
plug,screws,crews,0,1,1,1,1,1,1,0,0,0,1,1,1
hose,drain,nozzle,1,1,1,1,1,1,1,1,1,0,0,1,1
shelves,cupboard,angels,0,1,1,1,1,1,1,1,0,0,1,1,1
skunk,hare,domestic,0,1,1,1,1,0,0,0,1,1,0,0,0
beans,onions,pods,1,1,1,1,0,0,1,0,0,0,0,1,1
belt,hose,diamond,0,1,1,1,1,1,1,0,1,1,1,1,1
iguana,alligator,bugs,1,1,1,1,1,1,1,0,1,0,0,1,1
raccoon,groundhog,spoon,0,1,1,1,1,1,1,0,1,0,0,1,0
raspberry,pear,bald,0,1,1,1,1,1,1,1,0,1,1,0,1
belt,boots,thin,1,1,1,1,1,1,1,0,1,0,0,0,0
bull,sheep,bugs,0,1,1,1,1,1,1,0,0,0,0,0,0
seagull,pheasant,garbage,1,1,1,1,1,1,1,1,0,0,0,0,1
yacht,ship,sings,0,1,1,1,1,1,1,1,1,0,0,1,0
swan,partridge,flies,0,1,1,1,1,1,1,1,0,0,0,1,1
bag,bottle,lacy,0,1,1,1,1,0,1,0,1,0,0,1,1
tangerine,plum,ovens,0,1,1,1,1,1,1,1,0,1,0,1,0
fawn,blouse,grass,1,1,1,1,1,0,1,0,0,0,0,0,1
spade,brush,sings,0,1,1,1,1,1,1,0,0,1,0,1,0
panther,cheetah,sleek,1,1,1,1,1,1,1,0,1,0,1,1,1
garage,car,jewelry,0,1,1,1,1,1,1,0,0,0,0,1,0
keyboard,harp,cupboards,0,1,1,1,1,1,1,0,0,0,0,1,1
wheel,clamp,straps,0,1,1,1,1,1,0,0,1,1,0,0,1
raspberry,strawberry,part,0,1,1,1,1,1,1,1,0,1,1,1,1
pigeon,duck,pest,0,1,1,1,1,1,1,1,0,0,0,0,1
lamp,lantern,shade,1,1,1,1,1,1,0,0,1,0,0,1,0
tuna,onions,gills,1,1,0,0,1,1,1,0,0,0,1,1,1
shell,armour,launched,0,1,1,1,1,1,1,0,0,1,0,0,1
avocado,tomato,setting,0,1,1,1,1,0,1,0,1,0,0,1,1
catfish,crab,scales,1,1,0,1,1,1,1,1,0,0,0,1,0
skis,canoe,bindings,1,1,1,1,1,1,1,0,0,1,1,0,0
radish,beets,visor,0,0,1,1,1,1,1,0,1,0,1,0,1
cod,trout,scales,0,1,1,1,1,1,1,0,0,0,0,1,0
seagull,stork,garbage,1,1,1,1,1,1,1,1,1,0,0,0,1
kettle,microwave,spout,1,1,1,1,1,1,1,0,0,0,0,1,1
alligator,camel,torso,0,1,1,1,1,0,1,0,0,0,1,1,1
shelves,tray,dials,0,1,1,1,1,1,1,1,1,0,0,1,1
dog,rabbit,cork,0,1,1,1,1,1,1,0,1,0,0,1,0
saddle,bike,straps,1,1,1,1,1,1,1,0,0,0,0,1,1
turnip,beans,mountains,0,1,1,1,1,1,1,1,0,1,0,1,1
cherry,strawberry,seafood,0,1,1,1,1,1,1,0,1,1,1,0,1
cantaloupe,pumpkin,seeds,0,1,0,1,1,0,1,0,0,0,0,0,1
hut,shed,stitching,0,1,1,0,1,1,1,0,1,0,0,0,1
toad,duck,warts,1,1,1,1,1,0,1,0,0,1,0,1,1
moth,butterfly,flies,0,1,1,1,1,1,1,1,0,1,0,0,0
belt,plate,buckles,1,1,1,1,1,0,1,0,1,1,1,1,1
cucumber,peas,flies,0,0,1,1,1,1,1,1,1,1,0,0,1
orange,coconut,pulp,1,1,1,1,0,1,1,1,0,0,0,1,0
sweater,coat,ears,0,1,1,1,1,1,0,0,0,0,0,1,1
dove,eagle,pods,0,1,1,1,1,1,1,0,0,0,0,1,1
mushroom,celery,stem,1,1,1,1,1,1,1,0,0,0,0,1,0
screwdriver,pliers,weapon,0,1,1,1,1,1,1,0,0,1,0,0,1
saucer,tray,patterns,1,1,1,1,1,1,1,0,0,0,1,1,1
hawk,raven,soars,1,1,1,1,1,1,0,0,0,1,0,1,0
robe,scarf,cloth,1,0,1,1,1,1,0,0,0,0,0,0,1
seal,coat,flippers,1,1,1,1,1,1,1,0,0,1,0,1,1
knife,rope,cups,0,1,1,1,1,1,1,0,1,1,0,0,1
cantaloupe,honeydew,seeds,0,1,1,1,0,0,1,0,0,0,0,0,0
ant,flea,bites,0,1,1,1,1,1,1,0,1,0,1,1,0
tray,brush,square,1,1,1,1,1,1,1,1,0,0,0,1,1
thimble,scissors,dimples,1,0,1,1,1,1,1,0,0,0,0,1,1
necklace,emerald,charm,1,1,1,1,1,1,1,0,1,0,1,1,1
trousers,socks,buttons,1,1,1,1,1,1,1,1,0,0,0,1,1
cabin,tent,hitting,0,0,1,1,1,1,1,1,0,0,0,1,1
cupboard,oven,hospitals,0,1,1,1,1,1,1,0,0,1,1,1,0
eggplant,broccoli,purple,1,1,1,1,1,1,1,0,1,0,0,1,0
bayonet,dagger,belts,0,1,1,1,1,1,0,1,0,0,0,0,0
bow,hook,curved,0,1,1,1,0,1,1,0,0,0,0,1,1
lime,strawberry,seeds,0,1,1,1,1,1,0,1,1,0,0,1,1
spoon,garlic,acoustic,0,1,1,1,1,1,1,0,0,0,0,1,0
shovel,spade,stalks,0,1,1,1,1,1,1,1,0,0,0,1,1
axe,knife,fires,0,1,1,1,1,1,1,0,1,0,0,1,1
hut,tent,straw,1,1,1,1,1,0,1,1,0,0,0,1,1
beetle,flea,crawls,1,1,1,0,1,0,1,1,0,1,0,1,1
dolphin,boat,cheese,0,1,1,1,1,1,1,1,0,1,1,0,1
pineapple,pepper,boundaries,0,1,1,1,1,1,1,0,0,0,0,1,1
giraffe,tiger,part,0,1,1,1,0,1,1,1,1,1,0,1,1
coat,skirt,zipper,1,1,1,1,1,0,0,0,0,0,0,0,1
vulture,parakeet,mailing,0,1,1,1,1,0,1,0,1,1,0,0,1
donkey,bull,airplanes,0,1,1,1,1,0,1,0,1,0,1,1,1
cranberry,cherry,jeans,0,1,1,1,1,1,1,1,0,0,0,1,1
tuba,saxophone,ground,0,1,1,1,1,1,0,0,0,1,0,0,1
shield,sword,poles,0,0,1,1,1,1,1,0,0,0,0,1,1
shell,plate,stairways,0,1,1,1,1,1,1,0,0,0,0,1,0
chicken,cheese,spanish,0,1,1,1,1,1,0,1,0,0,1,1,1
spinach,broccoli,inches,0,1,0,0,1,1,1,0,1,0,0,1,1
pony,goat,mask,0,1,1,1,1,0,1,1,0,0,0,1,1
cabbage,potato,ridges,0,1,1,1,1,1,1,0,0,0,0,1,1
rocker,fan,loops,0,1,1,1,1,1,1,0,0,1,0,1,0
microwave,toaster,shaped,1,1,1,0,1,0,1,1,1,0,0,1,0
saxophone,accordion,animals,0,1,1,0,1,1,1,0,0,0,0,1,1
avocado,cucumber,pit,1,0,1,0,1,1,1,1,1,0,0,1,0
pigeon,chicken,scalping,0,1,1,1,1,1,1,0,0,0,0,1,1
blender,fridge,blades,1,1,1,1,1,0,1,0,0,0,1,1,0
spinach,broccoli,waving,0,1,1,1,1,0,1,0,0,1,0,1,0
blueberry,rhubarb,bowls,0,1,1,1,1,1,1,1,0,1,0,1,0
catapult,crossbow,worshipping,0,1,1,1,1,1,1,1,1,0,0,0,0
cheese,bread,occasions,0,1,1,1,1,1,1,1,0,0,0,0,1
peg,perch,witches,0,1,1,1,1,1,1,0,0,0,0,1,0
lettuce,asparagus,connections,0,1,1,0,1,1,1,0,1,1,0,0,0
worm,beetle,grass,0,1,1,1,1,1,1,0,1,0,0,1,0
cauliflower,onions,math,0,1,1,1,1,0,1,1,1,0,0,1,1
cat,hamster,paws,1,1,1,0,1,1,1,1,1,0,0,1,1
salmon,potato,cats,0,1,1,1,1,1,1,0,0,0,1,1,0
blouse,jeans,silk,1,1,1,1,1,0,1,1,1,1,0,1,0
rooster,tiger,lid,0,1,1,1,1,1,1,1,0,0,0,1,1
jeans,coat,bathing,0,0,1,1,1,0,1,1,1,1,1,1,1
screwdriver,chisel,sinks,0,1,1,0,1,1,1,0,1,0,1,1,1
hornet,hawk,flies,0,1,1,1,1,1,1,0,0,0,0,1,1
tank,armour,tracks,1,1,0,1,1,1,1,0,0,1,0,1,0
oven,stove,rind,0,1,1,1,1,1,0,1,0,1,1,0,1
cap,bottle,blankets,0,1,1,1,0,0,1,0,0,0,0,1,0
snail,turtle,slow,0,1,1,0,1,1,1,1,0,0,0,1,1
wheel,bolts,sandwiches,0,1,1,1,1,1,1,1,0,0,1,1,1
rhubarb,tomato,screws,0,1,1,1,1,1,1,0,1,1,0,1,1
pin,wheel,iceberg,0,1,1,1,0,0,1,0,0,1,0,0,0
flute,tuba,bathtubs,0,1,1,1,1,1,1,1,0,0,0,1,1
slippers,shoes,extermination,0,1,1,1,1,1,1,0,0,0,1,0,1
raccoon,hare,rabbit,0,1,1,1,1,1,1,0,0,0,0,1,1
cabbage,pepper,appliances,0,1,1,1,1,1,1,0,0,0,1,0,0
salmon,mackerel,gills,0,1,1,1,1,1,1,0,0,1,1,0,1
corn,spinach,cat,0,1,1,1,1,1,1,1,0,0,1,1,1
cougar,bear,detergent,0,1,1,1,1,1,1,0,1,1,1,0,0
strainer,sink,extermination,0,1,0,1,1,1,1,0,0,0,0,1,1
gown,blouse,chalk,0,1,1,1,1,1,1,0,0,0,0,1,1
blender,spoon,blades,1,1,1,1,0,0,1,0,0,0,1,1,0
spinach,pepper,securing,0,1,1,1,1,0,1,0,0,0,0,0,1
boots,socks,extermination,0,0,1,1,1,1,0,0,0,0,1,0,1
hawk,crow,claws,1,1,0,1,1,1,1,1,0,0,0,1,0
mackerel,cod,scales,0,1,1,1,1,1,1,1,1,0,0,1,1
rooster,hamster,sports,0,1,1,0,1,1,1,1,0,0,0,0,1
toad,beetle,insects,1,1,1,1,1,0,1,1,1,0,1,0,1
saxophone,tuba,reeds,1,1,1,1,1,1,0,0,0,1,1,1,0
potato,carrot,toolboxes,0,1,1,1,1,0,0,0,0,0,0,1,0
shelves,tray,houses,0,1,1,1,1,1,1,1,0,0,1,0,1
candle,cigar,wick,1,1,1,1,1,0,0,0,0,1,1,1,1
pepper,spinach,pieces,1,1,0,1,1,1,1,0,0,1,1,1,1
mink,deer,mink,1,1,1,0,1,0,1,0,1,0,0,0,0
jacket,gown,pockets,1,1,1,1,1,1,0,0,0,0,0,1,1
walnut,olive,china,0,1,1,1,0,1,1,0,0,1,1,0,1
harpsichord,accordion,boys,0,1,1,1,1,1,1,1,0,0,1,1,1
yam,coconut,graffiti,0,1,1,1,1,1,1,0,0,0,0,1,0
octopus,crab,ink,1,1,1,1,1,0,1,0,0,0,0,1,0
trousers,socks,cooking,0,1,1,0,0,1,1,1,0,0,0,1,1
wheelbarrow,wagon,bin,1,1,0,1,1,1,1,1,1,0,1,1,0
cherry,rhubarb,boundaries,0,1,1,1,1,1,1,0,0,0,1,1,0
saxophone,clarinet,feminine,0,1,1,1,1,1,1,1,0,0,1,1,0
cod,trout,fins,0,1,1,1,1,1,1,0,1,0,0,0,0
jacket,boots,scented,0,1,1,1,1,0,0,1,0,1,0,1,0
tie,scarf,floors,0,1,1,1,1,1,1,0,0,0,0,0,1
horse,lion,presents,0,1,0,1,1,0,1,0,0,0,0,0,0
chipmunk,alligator,nuts,1,0,1,1,0,0,0,1,0,0,0,1,0
vulture,parakeet,noise,0,0,1,1,0,1,1,1,0,0,1,1,0
gun,missile,trigger,1,0,1,1,1,1,1,0,1,0,1,0,0
pine,coconut,dams,0,1,1,1,0,1,1,1,0,0,1,1,1
grater,strainer,hay,0,1,1,1,1,1,1,1,0,1,0,1,1
raccoon,porcupine,garbage,1,0,1,1,1,1,1,1,0,0,0,1,1
cupboard,freezer,stamp,0,1,1,1,1,1,1,0,0,0,0,1,1
jar,pot,label,1,1,1,1,1,0,1,1,0,0,0,1,0
skunk,flea,cups,0,1,1,1,0,1,1,0,0,1,0,0,1
mole,frog,burrows,1,1,1,1,1,1,0,1,0,0,0,1,0
pajamas,nightgown,waves,0,1,1,0,1,1,1,0,0,0,0,0,1
belt,trousers,thin,1,1,1,1,1,1,1,1,0,1,0,1,0
flute,trombone,temperatures,0,0,1,1,1,1,1,1,0,0,0,1,1
giraffe,leopard,spots,0,0,1,1,1,1,1,1,0,0,0,1,0
missile,harpoon,thin,0,1,1,1,1,1,1,1,0,1,0,0,1
buzzard,hawk,flies,0,1,1,1,1,0,1,1,0,0,1,1,1
socks,shirt,monkeys,0,1,1,1,1,1,1,0,0,0,0,1,1
rabbit,elephant,hops,1,1,1,1,1,1,1,0,1,1,1,0,1
eel,tuna,timer,0,0,1,1,1,1,1,0,0,0,0,1,1
helmet,cap,butts,0,1,1,0,1,1,1,1,0,0,0,1,1
ox,moose,grass,0,1,1,1,1,0,1,0,0,0,0,1,0
shotgun,bullet,squeaks,0,0,1,1,1,1,1,1,0,1,0,1,1
wheel,bolts,rims,1,1,1,1,1,1,1,0,0,0,1,1,1
squirrel,deer,woodwind,0,1,1,1,1,1,1,0,1,1,1,1,0
lettuce,cucumber,gold,0,1,1,1,1,0,1,0,1,0,1,1,1
tricycle,scooter,restricting,0,1,1,1,1,1,1,1,1,0,0,1,1
peas,garlic,diamonds,0,1,0,1,1,1,1,1,1,0,0,0,1
frog,cat,medieval,0,1,1,1,1,1,1,1,0,0,0,1,1
hornet,hawk,hooks,0,1,1,1,1,1,1,0,1,0,0,1,1
rice,broccoli,shoes,0,1,1,1,1,1,0,0,1,0,0,1,1
rope,bolts,bits,0,1,1,1,0,0,1,0,0,0,0,1,1
hawk,goose,soars,1,1,1,1,1,1,1,0,0,0,0,1,1
harmonica,trombone,washing,0,1,1,1,1,1,1,1,1,1,0,0,1
hawk,hornet,flies,0,1,1,1,1,1,0,0,1,1,0,1,1
screws,barrel,honey,0,1,1,1,1,1,1,1,1,0,0,0,1
doll,necklace,dams,0,1,1,0,1,1,1,1,1,1,1,1,0
elevator,truck,cat,0,1,1,1,1,0,1,1,1,0,0,0,0
skirt,coat,buildings,0,1,0,1,1,1,1,1,1,0,1,1,0
strawberry,tomato,symbol,0,1,1,1,1,0,1,0,0,0,0,1,1
hoe,chisel,terrorism,0,1,0,1,1,0,1,0,0,1,0,1,0
bear,caribou,bellows,0,1,0,1,1,1,0,0,0,0,0,1,0
rattlesnake,elk,meows,0,1,1,1,1,1,1,0,1,0,0,1,1
spider,crab,flies,1,1,1,1,1,1,0,0,1,1,1,0,0
level,certificate,computers,0,1,1,1,1,1,0,0,1,0,0,0,1
oven,kettle,control,1,1,1,1,1,1,1,0,0,0,1,1,1
raisin,bread,poles,0,1,1,0,1,1,1,0,0,0,0,1,0
rattlesnake,elk,bites,1,1,0,1,1,0,1,0,0,0,1,0,1
buckle,clamp,mouths,0,1,1,1,1,1,1,1,1,0,0,1,1
